INFO  2017-02-17 14:39:53,080  create file function start

INFO  2017-02-17 14:39:53,081  create file function end

INFO  2017-02-17 14:39:53,081  珠江里(河西区) 2室1厅 160万
INFO  2017-02-17 14:39:53,081  create file function start

INFO  2017-02-17 14:39:53,082  create file function end

INFO  2017-02-17 14:39:53,082  昌宁南里 2室1厅 195万
INFO  2017-02-17 14:39:53,082  create file function start

INFO  2017-02-17 14:39:53,083  create file function end

INFO  2017-02-17 14:39:53,083  融科瀚棠 2室1厅 330万
INFO  2017-02-17 14:39:53,084  create file function start

INFO  2017-02-17 14:39:53,084  create file function end

INFO  2017-02-17 14:39:53,085  芳水园 2室2厅 630万
INFO  2017-02-17 14:39:53,085  create file function start

INFO  2017-02-17 14:39:53,086  create file function end

INFO  2017-02-17 14:39:53,086  卫星里 1室1厅 250万
INFO  2017-02-17 14:39:53,086  create file function start

INFO  2017-02-17 14:39:53,087  create file function end

INFO  2017-02-17 14:39:53,087  龙江里 2室1厅 170万
INFO  2017-02-17 14:39:53,088  create file function start

INFO  2017-02-17 14:39:53,089  create file function end

INFO  2017-02-17 14:39:53,089  兰景园 2室1厅 180万
INFO  2017-02-17 14:39:53,089  create file function start

INFO  2017-02-17 14:39:53,090  create file function end

INFO  2017-02-17 14:39:53,090  光裕里 2室2厅 137万
INFO  2017-02-17 14:39:53,091  create file function start

INFO  2017-02-17 14:39:53,092  create file function end

INFO  2017-02-17 14:39:53,092  城南家园 3室1厅 780万
INFO  2017-02-17 14:39:53,092  create file function start

INFO  2017-02-17 14:39:53,093  create file function end

INFO  2017-02-17 14:39:53,093  宜白楼 1室1厅 85万
INFO  2017-02-17 14:39:53,093  create file function start

INFO  2017-02-17 14:39:53,094  create file function end

INFO  2017-02-17 14:39:53,094  新城小区 2室1厅 170万
INFO  2017-02-17 14:39:53,094  create file function start

INFO  2017-02-17 14:39:53,095  create file function end

INFO  2017-02-17 14:39:53,095  融创御澜 2室1厅 175万
INFO  2017-02-17 14:39:53,095  create file function start

INFO  2017-02-17 14:39:53,096  create file function end

INFO  2017-02-17 14:39:53,096  珠波里 1室1厅 97万
INFO  2017-02-17 14:39:53,097  create file function start

INFO  2017-02-17 14:39:53,097  create file function end

INFO  2017-02-17 14:39:53,098  智达里 2室1厅 255万
INFO  2017-02-17 14:39:53,098  create file function start

INFO  2017-02-17 14:39:53,099  create file function end

INFO  2017-02-17 14:39:53,099  秋实园 2室1厅 395万
INFO  2017-02-17 14:39:53,099  create file function start

INFO  2017-02-17 14:39:53,100  create file function end

INFO  2017-02-17 14:39:53,100  卫星里 1室1厅 190万
INFO  2017-02-17 14:39:53,100  create file function start

INFO  2017-02-17 14:39:53,101  create file function end

INFO  2017-02-17 14:39:53,101  长青北里 2室1厅 210万
INFO  2017-02-17 14:39:53,101  create file function start

INFO  2017-02-17 14:39:53,102  create file function end

INFO  2017-02-17 14:39:53,102  富力湾天阔园 2室2厅 266万
INFO  2017-02-17 14:39:53,102  create file function start

INFO  2017-02-17 14:39:53,104  create file function end

INFO  2017-02-17 14:39:53,104  临池里 1室1厅 105万
INFO  2017-02-17 14:39:53,104  create file function start

INFO  2017-02-17 14:39:53,105  create file function end

INFO  2017-02-17 14:39:53,105  昆俞欣园 2室1厅 195万
INFO  2017-02-17 14:39:53,105  create file function start

INFO  2017-02-17 14:39:53,106  create file function end

INFO  2017-02-17 14:39:53,106  恩德西里 1室1厅 142万
INFO  2017-02-17 14:39:53,106  create file function start

INFO  2017-02-17 14:39:53,107  create file function end

INFO  2017-02-17 14:39:53,107  福东北里 1室1厅 143万
INFO  2017-02-17 14:39:53,107  create file function start

INFO  2017-02-17 14:39:53,108  create file function end

INFO  2017-02-17 14:39:53,108  昔阳东里 1室1厅 136万
INFO  2017-02-17 14:39:53,109  create file function start

INFO  2017-02-17 14:39:53,109  create file function end

INFO  2017-02-17 14:39:53,109  瑞顺里 2室1厅 185万
INFO  2017-02-17 14:39:53,110  create file function start

INFO  2017-02-17 14:39:53,110  create file function end

INFO  2017-02-17 14:39:53,110  大地十二城枫桦园 2室1厅 220万
INFO  2017-02-17 14:39:53,111  create file function start

INFO  2017-02-17 14:39:53,111  create file function end

ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,112  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,113  not found
ERROR  2017-02-17 14:39:53,114  not found
ERROR  2017-02-17 14:39:53,114  not found
ERROR  2017-02-17 14:39:53,114  not found
ERROR  2017-02-17 14:39:53,114  not found
INFO  2017-02-17 14:39:53,114  proxy added
INFO  2017-02-17 14:39:54,743  卧龙南里 2室1厅 170万
INFO  2017-02-17 14:39:54,743  create file function start

INFO  2017-02-17 14:39:54,745  create file function end

